Date,Open,High,Low,Close,Volume,Adj Close
2015-05-20,0.39,0.39,0.38,0.38,1300,3.79008
2015-05-19,0.39,0.39,0.37,0.38,330000,3.79008
2015-05-18,0.39,0.39,0.39,0.39,000,3.889819
2015-05-15,0.38,0.39,0.38,0.39,11200,3.889819
2015-05-14,0.38,0.38,0.37,0.38,7700,3.79008
2015-05-13,0.38,0.38,0.37,0.38,12800,3.79008
2015-05-12,0.39,0.39,0.38,0.39,13900,3.889819
2015-05-11,0.39,0.39,0.38,0.39,7000,3.889819
2015-05-08,0.38,0.39,0.38,0.38,3800,3.79008
2015-05-07,0.38,0.39,0.38,0.38,13500,3.79008
2015-05-06,0.38,0.39,0.38,0.38,9300,3.79008
2015-05-05,0.37,0.38,0.37,0.38,10300,3.79008
2015-05-04,0.38,0.39,0.38,0.38,17000,3.79008
2015-05-01,0.38,0.38,0.38,0.38,5400,3.79008
2015-04-30,0.38,0.38,0.37,0.38,10700,3.79008
2015-04-29,0.38,0.39,0.38,0.38,13600,3.79008
2015-04-28,0.38,0.38,0.37,0.37,18900,3.690341
2015-04-27,0.38,0.38,0.38,0.38,8000,3.79008
2015-04-24,0.38,0.38,0.37,0.37,7300,3.690341
2015-04-23,0.39,0.39,0.39,0.39,4700,3.889819
2015-04-22,0.38,0.39,0.38,0.39,6600,3.889819
2015-04-21,0.39,0.39,0.39,0.39,1400,3.889819
2015-04-20,0.38,0.39,0.38,0.39,3800,3.889819
2015-04-17,0.39,0.39,0.38,0.38,15200,3.79008
2015-04-16,0.37,0.39,0.37,0.38,5900,3.79008
2015-04-15,0.39,0.39,0.37,0.37,9900,3.690341
