Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,60.490002,60.939999,59.759998,60.193520,60.410000,3281800
2015-10-12,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,null,null,null,null,null,null
2015-10-19,null,null,null,null,null,null
2015-10-20,61.709999,62.639999,61.459999,61.688141,61.910000,1791400
2015-10-21,null,null,null,null,null,null
2015-10-22,61.860001,64.099998,61.700001,63.611225,63.840000,4798700
2015-10-23,65.809998,66.389999,64.879997,65.723625,65.959999,3502000
2015-10-26,65.849998,65.860001,65.099998,65.305138,65.540001,1984300
2015-10-27,64.800003,65.510002,64.389999,64.826843,65.059998,2283500
2015-10-28,65.500000,67.360001,64.760002,67.068787,67.309998,4363500
2015-10-29,66.709999,67.629997,66.629997,67.058823,67.300003,1735400
2015-10-30,67.470001,67.800003,66.150002,66.022560,66.260002,1836700
2015-11-02,66.690002,68.919998,66.580002,68.384056,68.629997,1949600
2015-11-03,68.309998,69.949997,68.040001,68.971947,69.220001,2435400
2015-11-04,69.629997,69.769997,68.059998,68.473740,68.720001,2484100
2015-11-05,68.709999,69.269997,67.440002,68.194740,68.440002,2243200
2015-11-06,68.000000,68.620003,66.809998,68.055244,68.300003,2409700
2015-11-09,67.650002,67.779999,65.330002,66.181976,66.419998,3159200
2015-11-10,65.879997,66.919998,65.570000,66.530716,66.769997,1629000
2015-11-11,67.199997,67.230003,66.000000,65.813309,66.050003,2257200
2015-11-12,64.900002,65.410004,63.310001,63.093090,63.320000,3116600
2015-11-13,62.869999,63.139999,61.070000,60.960758,61.180000,4171200
2015-11-16,60.980000,63.980000,60.849998,63.720829,63.950001,3355800
2015-11-17,64.360001,65.279999,63.270000,63.501617,63.730000,5204300
2015-11-18,64.389999,67.000000,64.300003,66.550652,66.790001,3724600
2015-11-19,66.699997,67.160004,66.349998,66.451012,66.690002,2279300
2015-11-20,67.580002,68.180000,66.970001,67.178391,67.419998,2121100
2015-11-23,67.489998,68.050003,66.650002,66.889435,67.129997,1482800
2015-11-24,66.019997,67.879997,65.540001,67.208282,67.449997,2960200
2015-11-25,67.589996,67.790001,67.099998,67.128586,67.370003,1063100
2015-11-27,67.459999,67.849998,66.959999,67.317894,67.559998,919500
2015-11-30,67.870003,67.949997,66.650002,66.560623,66.800003,1670100
2015-12-01,67.489998,68.820000,67.199997,68.443840,68.690002,2947100
2015-12-02,68.559998,68.989998,66.269997,66.271660,66.510002,2700100
2015-12-03,66.900002,67.150002,62.950001,63.511585,63.740002,4532500
2015-12-04,64.209999,67.820000,64.059998,67.228210,67.470001,3629600
2015-12-07,67.110001,67.110001,65.139999,66.002625,66.239998,2359500
2015-12-08,64.440002,65.940002,63.779999,64.667427,64.900002,2832300
2015-12-09,64.180000,66.529999,62.259998,63.192726,63.419998,4661200
2015-12-10,63.450001,65.290001,63.200001,63.561401,63.790001,2458600
2015-12-11,61.549999,62.250000,59.799999,59.834805,60.049999,5666400
2015-12-14,60.209999,61.130001,58.430000,60.871078,61.090000,4325100
2015-12-15,62.720001,63.939999,62.529999,62.744343,62.970001,4938900
2015-12-16,64.169998,66.050003,62.799999,65.484489,65.720001,4328400
2015-12-17,66.169998,66.169998,62.720001,62.574951,62.799999,4650400
2015-12-18,61.820000,62.000000,59.240002,59.027710,59.240002,5884100
2015-12-21,60.660000,61.000000,59.439999,60.641907,60.860001,2792900
2015-12-22,61.570000,62.650002,60.570000,62.270569,62.360001,3442400
2015-12-23,63.459999,64.690002,63.330002,64.547295,64.639999,2654100
2015-12-24,64.389999,64.919998,64.080002,64.097939,64.190002,931800
2015-12-28,63.500000,63.910000,62.689999,63.808361,63.900002,2284600
2015-12-29,65.050003,66.250000,65.050003,65.815475,65.910004,2770600
2015-12-30,65.669998,65.699997,64.349998,64.447441,64.540001,1639900
2015-12-31,63.820000,64.449997,62.560001,62.530193,62.619999,2862300
2016-01-04,59.360001,59.939999,57.700001,59.834061,59.919998,6658000
2016-01-05,60.299999,60.709999,59.060001,60.163589,60.250000,3500800
2016-01-06,57.529999,59.049999,56.860001,57.876877,57.959999,5555500
2016-01-07,54.990002,56.709999,53.380001,53.702869,53.779999,7084800
2016-01-08,54.820000,55.259998,51.720001,51.915440,51.990002,6244300
2016-01-11,52.840000,53.189999,50.290001,52.005310,52.080002,7917700
2016-01-12,53.520000,54.130001,51.349998,53.343388,53.419998,6532300
2016-01-13,54.080002,54.400002,49.029999,49.319168,49.389999,7606600
2016-01-14,50.000000,52.880001,48.480000,51.725712,51.799999,7103500
2016-01-15,47.689999,49.250000,46.650002,48.340572,48.410000,9698400
2016-01-19,50.169998,50.250000,47.230000,48.620171,48.689999,5539300
2016-01-20,46.389999,48.220001,43.220001,46.772823,46.840000,12839400
2016-01-21,47.310001,49.220001,46.070000,47.451851,47.520000,6150700
2016-01-22,49.919998,50.669998,49.250000,50.447548,50.520000,5093300
2016-01-25,50.000000,50.189999,48.029999,48.200775,48.270000,4085200
2016-01-26,48.799999,50.430000,48.500000,50.118019,50.189999,3735300
2016-01-27,49.720001,51.240002,47.680000,48.480370,48.549999,5969700
2016-01-28,49.869999,50.119999,47.770000,49.239285,49.310001,4425600
2016-01-29,50.000000,52.990002,49.900002,52.914005,52.990002,5154700
2016-02-01,51.840000,53.590000,51.360001,52.754234,52.830002,3263600
2016-02-02,51.340000,51.439999,49.470001,49.928291,50.000000,5012500
2016-02-03,50.970001,51.220001,47.549999,50.767090,50.840000,6995300
2016-02-04,50.389999,51.980000,49.799999,50.986774,51.060001,4974800
2016-02-05,50.549999,50.669998,47.580002,48.070961,48.139999,5319900
2016-02-08,46.439999,46.750000,44.220001,46.093800,46.160000,6338600
2016-02-09,44.639999,47.320000,44.560001,46.083813,46.150002,5705600
2016-02-10,46.990002,48.380001,45.970001,46.033886,46.099998,4762500
2016-02-11,43.889999,45.200001,42.980000,44.366280,44.430000,7730400
2016-02-12,45.790001,47.040001,45.090000,46.962551,47.029999,3909300
2016-02-16,48.700001,49.419998,47.799999,49.289211,49.360001,3854900
2016-02-17,50.480000,52.180000,50.369999,51.735699,51.810001,4602000
2016-02-18,52.080002,52.150002,50.889999,51.096615,51.169998,3324700
2016-02-19,50.480000,51.250000,49.880001,51.086628,51.160000,3101600
2016-02-22,52.599998,53.470001,52.570000,53.233543,53.310001,4138700
2016-02-23,52.720001,52.959999,51.209999,51.296326,51.369999,3909200
2016-02-24,49.910000,52.259998,48.900002,51.975349,52.049999,5844700
2016-02-25,52.439999,53.900002,51.709999,53.802727,53.880001,4345900
2016-02-26,54.770000,54.840000,53.380001,53.483189,53.560001,4664600
2016-02-29,53.639999,54.459999,52.099998,52.025280,52.099998,3488600
2016-03-01,53.450001,56.000000,53.000000,55.889732,55.970001,5087200
2016-03-02,55.660000,56.759998,55.220001,56.658630,56.740002,3503500
2016-03-03,56.500000,57.380001,55.950001,57.237793,57.320000,3381900
2016-03-04,57.599998,58.709999,56.740002,57.846920,57.930000,3784800
2016-03-07,57.029999,58.480000,56.900002,57.966743,58.049999,4308000
2016-03-08,56.959999,57.480000,56.000000,56.039513,56.119999,3629700
2016-03-09,57.000000,57.320000,56.169998,56.908272,56.990002,3131800
2016-03-10,57.470001,58.430000,55.270000,57.008125,57.090000,5626000
2016-03-11,58.560001,59.930000,58.490002,59.794121,59.880001,3690100
2016-03-14,59.330002,60.130001,59.009998,59.574436,59.660000,1979600
2016-03-15,58.660000,59.389999,58.380001,59.304829,59.389999,4183800
2016-03-16,58.820000,60.799999,58.810001,60.373291,60.459999,3472400
2016-03-17,60.310001,62.070000,59.880001,61.491688,61.580002,3269500
2016-03-18,62.000000,62.619999,61.750000,62.210651,62.299999,2473000
